cve_ent,nom_ent,cve_mun,nom_mun,cve_geo,cve_ageb,Rango_Pobreza,Rango_Pobreza_Ext
14,Jalisco,14001,Acatic,1400100010067,0067,"(34, 50]","[ 0, 20]"
14,Jalisco,14001,Acatic,1400100010071,0071,"(34, 50]","[ 0, 20]"
14,Jalisco,14001,Acatic,1400100010103,0103,"(34, 50]","[ 0, 20]"
14,Jalisco,14001,Acatic,1400100010118,0118,"(50, 70]","[ 0, 20]"
14,Jalisco,14001,Acatic,1400100010122,0122,"(34, 50]","[ 0, 20]"
14,Jalisco,14001,Acatic,1400100010137,0137,"(18, 34]","[ 0, 20]"
14,Jalisco,14001,Acatic,1400100010160,0160,"(50, 70]","[ 0, 20]"
14,Jalisco,14001,Acatic,1400100010175,0175,"(18, 34]","[ 0, 20]"
14,Jalisco,14001,Acatic,1400100010194,0194,"(34, 50]","[ 0, 20]"
14,Jalisco,14001,Acatic,1400100010207,0207,"(34, 50]","[ 0, 20]"
14,Jalisco,14001,Acatic,1400100010211,0211,"(34, 50]","[ 0, 20]"
14,Jalisco,14001,Acatic,1400100010226,0226,"(34, 50]","[ 0, 20]"
14,Jalisco,14001,Acatic,1400100010230,0230,"(50, 70]","[ 0, 20]"
14,Jalisco,14001,Acatic,140010001025A,025A,"(50, 70]","[ 0, 20]"
14,Jalisco,14001,Acatic,1400100010279,0279,"(34, 50]","[ 0, 20]"
14,Jalisco,14001,Acatic,1400100010283,0283,"(50, 70]","[ 0, 20]"
14,Jalisco,14002,Acatlán de Juárez,1400200010030,0030,"(18, 34]","[ 0, 20]"
14,Jalisco,14002,Acatlán de Juárez,1400200010064,0064,"(18, 34]","[ 0, 20]"
14,Jalisco,14002,Acatlán de Juárez,1400200010079,0079,"(34, 50]","[ 0, 20]"
14,Jalisco,14002,Acatlán de Juárez,1400200010083,0083,"(34, 50]","[ 0, 20]"
14,Jalisco,14002,Acatlán de Juárez,140020001012A,012A,"[ 0, 18]","[ 0, 20]"
14,Jalisco,14002,Acatlán de Juárez,1400200010168,0168,"(18, 34]","[ 0, 20]"
14,Jalisco,14002,Acatlán de Juárez,1400200010280,0280,"(34, 50]","[ 0, 20]"
14,Jalisco,14002,Acatlán de Juárez,1400200010295,0295,"(18, 34]","[ 0, 20]"
14,Jalisco,14002,Acatlán de Juárez,1400200020045,0045,"(18, 34]","[ 0, 20]"
14,Jalisco,14002,Acatlán de Juárez,140020002005A,005A,"(18, 34]","[ 0, 20]"
14,Jalisco,14002,Acatlán de Juárez,1400200020100,0100,"(34, 50]","[ 0, 20]"
14,Jalisco,14002,Acatlán de Juárez,1400200020149,0149,"(34, 50]","[ 0, 20]"
14,Jalisco,14002,Acatlán de Juárez,1400200020204,0204,"(34, 50]","[ 0, 20]"
14,Jalisco,14002,Acatlán de Juárez,1400200020219,0219,"(50, 70]","[ 0, 20]"
14,Jalisco,14002,Acatlán de Juárez,1400200020223,0223,"(50, 70]","[ 0, 20]"
14,Jalisco,14002,Acatlán de Juárez,1400200020238,0238,"(50, 70]","[ 0, 20]"
14,Jalisco,14002,Acatlán de Juárez,1400200020257,0257,"(50, 70]","[ 0, 20]"
14,Jalisco,14002,Acatlán de Juárez,1400200020261,0261,"(34, 50]","[ 0, 20]"
14,Jalisco,14002,Acatlán de Juárez,1400200020327,0327,"(70, 100]","[ 0, 20]"
